Dataset,Algorithm,Tour Length,Error (%),Time (s)
eil51.tsp,Tabu Search,1388.435985016776,225.9239401447831,0.01760101318359375
eil51.tsp,Iterated Local Search,433.2003551853232,1.6902242219068522,14.342272996902466
eil51.tsp,Variable Neighborhood Search,518.8402806183531,21.79349310289978,0.08513784408569336
eil51.tsp,Simulated Annealing,954.4227816371723,124.04290648759913,0.016022920608520508
berlin52.tsp,Tabu Search,25583.670687542177,239.21599956963905,0.026903867721557617
berlin52.tsp,Iterated Local Search,7849.838950693961,4.0816620351890895,16.840949296951294
berlin52.tsp,Variable Neighborhood Search,8750.235167347055,16.020089728812714,0.09850907325744629
berlin52.tsp,Simulated Annealing,22867.203975233293,203.19814340007017,0.01766657829284668
st70.tsp,Tabu Search,3088.43058053223,357.54527118996,0.024488210678100586
st70.tsp,Iterated Local Search,708.2426366102175,4.92483505336555,41.28282070159912
st70.tsp,Variable Neighborhood Search,932.9033629099897,38.207905616294774,0.10934948921203613
st70.tsp,Simulated Annealing,3240.9343424377657,380.1384211018912,0.022353172302246094
lin318.tsp,Tabu Search,548685.7949526394,1205.4933378206463,0.09843659400939941
lin318.tsp,Iterated Local Search,44594.16806818769,6.103328816264222,5653.260070323944
lin318.tsp,Variable Neighborhood Search,183783.4830174738,337.27779156647506,0.93048095703125
lin318.tsp,Simulated Annealing,365968.5814006811,770.7525313490236,0.10671210289001465
